"","hospital","address","bed_class1","last_update_class1","bed_class2","last_update_class2","bed_class3","last_update_class3","tlp_number","province","district","scraped_at","bed_type"
"593","RS Mitra Husada Ciawigebang","Jl Raya Siliwangi No. 151 Ciawigebang",NA,NA,6,NA,14,NA,"0232878560","32","3208",2021-08-06 22:50:11,"Non COVID-19"
"594","RS Permata Kuningan","Jl. Cut Nyak Dien RT. 007 RW. 002 45513",NA,NA,4,"14 jam",70,"14 jam","02328905555","32","3208",2021-08-06 22:50:11,"Non COVID-19"
"595","RS Umum Daerah Harapan Insan Sendawar","Jl. Mawar, Kampung Sekolaq Joleq, Kecamatan Sekolaq Darat",6,NA,11,NA,36,NA,"08115415159","64","6402",2021-08-06 22:50:12,"Non COVID-19"
"596","RS Umum Daerah Kudungga","Jl. Soekarno Hatta No.1 Sangatta Utara",1,"14 jam",1,"14 jam",15,"14 jam","081318245172","64","6404",2021-08-06 22:50:13,"Non COVID-19"
"597","RS Umum Medika Sangatta","Jl. Yos Sudarso IV No. 1, Sangatta",20,NA,27,NA,24,NA,"0549923417","64","6404",2021-08-06 22:50:13,"Non COVID-19"
"598","RS Umum Elpi Al Azis","Jl Wr. Supratman ",10,NA,4,NA,5,NA,"hotline tidak tersedia","12","1207",2021-08-06 22:50:13,"Non COVID-19"
"599","RS Umum Daerah Kota Pinang","Jl Istana No. 26",21,"14 jam",5,"14 jam",59,"14 jam","081376497035","12","1222",2021-08-06 22:50:13,"Non COVID-19"
"600","RS Umum Daerah  Aek Kanopan","Jl. Lintas Sumatera Desa Sidua-dua Kec. Kualuh Selatan",NA,NA,12,NA,NA,NA,"081276398607","12","1223",2021-08-06 22:50:14,"Non COVID-19"
"601","RS Umum Daerah Kabupaten Lamandau","Jl. Trans Kalimantan KM.04, Desa Kujan, Kec. Bulik",21,NA,11,NA,110,NA,"05322067382","62","6207",2021-08-06 22:50:14,"Non COVID-19"
"602","RS Ibu dan Anak Fatimah Lamongan","Jl. Pahlawan Selatan No. 18",0,"35 menit",18,"35 menit",12,"35 menit","0322322155","35","3524",2021-08-06 22:50:15,"Non COVID-19"
"603","RS Umum Daerah Dr. Soegiri Lamongan","Jl. Kusuma Bangsa No. 7 Lamongan",29,NA,12,NA,13,NA,"0322321718","35","3524",2021-08-06 22:50:15,"Non COVID-19"
"604","RS Islam Nashrul Ummah","  Jl. Merpati No.62, Lamongan",6,"12 jam",16,"12 jam",28,"12 jam","0322321522","35","3524",2021-08-06 22:50:15,"Non COVID-19"
"605","RS Umum dr. Suyudi","Jl. Deandles Paciran,Kecamatan Paciran, Kab. Lamongan",7,"14 jam",10,"14 jam",4,"14 jam","0322661412","35","3524",2021-08-06 22:50:15,"Non COVID-19"
"606","RS Muhammadiyah Babat","Jl. KH. Ahmad Dahlan No. 14 Babat, Lamongan ",6,"50 menit",6,"50 menit",18,"50 menit","0322451391","35","3524",2021-08-06 22:50:15,"Non COVID-19"
"607","RS Ibu Anak Hidayah Ibu","Jl. Kesuma Bangsa Kel. Way Urang Kec. Kalianda",3,NA,3,"37 jam",6,"37 jam","0727322195","18","1803",2021-08-06 22:50:16,"Non COVID-19"
"608","RS Umum Mitra Mulia Husada","Jl. Proklamator Raya No.162-164,Lampung Tengah",6,"28 jam",10,"28 jam",27,"28 jam","081271717197","18","1805",2021-08-06 22:50:16,"Non COVID-19"
"609","RS Umum Harapan Bunda","  Jl. Raya Lintas Sumatera, Seputih Jaya No.31, Kec. Gunung Sugih, Kab. Lampung Tengah",5,"5 menit",1,"5 menit",20,"5 menit","082186233531","18","1805",2021-08-06 22:50:16,"Non COVID-19"
"610","RS Ibu Anak Puri Adhya Paramita","Jl. SULTAN AGUNG NO. 5 BANDAR JAYA - TERBANGGI BESAR ",6,NA,5,NA,0,NA,"0725529399","18","1805",2021-08-06 22:50:16,"Non COVID-19"
"611","RS Umum Az - Zahra","Jl. Kartini No. 109 Kalirejo , Kec. Kalirejo,",19,"13 jam",22,"13 jam",27,"13 jam","0729370089","18","1805",2021-08-06 22:50:16,"Non COVID-19"
"612","RS Ibu Anak Puti Bungsu","Jalan S. Parman No 02 Bandar Jaya Timur",3,"15 jam",4,"15 jam",0,"15 jam","072525065","18","1805",2021-08-06 22:50:16,"Non COVID-19"
"613","RS Umum Daerah May Jen HM Ryacudu","Jl. Jend.Sudirman No.2 Kotabumi",7,"39 jam",25,"39 jam",57,"39 jam","072422095","18","1806",2021-08-06 22:50:17,"Non COVID-19"
"614","RS Candimas Medical Center","Jl. Alamsyah Ratu Perwira Negara No. 47 Kotabumi Selatan",1,NA,7,"18 jam",11,"18 jam","082181549355","18","1806",2021-08-06 22:50:17,"Non COVID-19"
"615","RS Medika Insani","Jl. Sumber Jaya No. 667 Desa Tanjung Baru Kecamatan Bukit Kemuning Kabupaten Lampung Utara",7,NA,10,"19 jam",12,NA,"085279410025","18","1806",2021-08-06 22:50:17,"Non COVID-19"
"616","RS Umum Delia","Jl Ki Hajar Dewantara No.9 Kec. Selesai Kabupaten Langkat",9,"12 jam",36,"12 jam",29,"12 jam","06180044800","12","1213",2021-08-06 22:50:17,"Non COVID-19"
"617","RS Umum Wampu Norita","Dusun II Kedondong Barat Desa Jentera Stabat Kecamatan Wampu No.86 Km.46",NA,NA,11,"13 jam",14,"13 jam","hotline tidak tersedia","12","1213",2021-08-06 22:50:17,"Non COVID-19"
"618","RS Umum Putri Bidadari","Stabat Tanjung Pura KM 45",22,NA,65,NA,58,NA,"085361517988","12","1213",2021-08-06 22:50:17,"Non COVID-19"
"619","RS Misi Lebak","Jl. Multatuli No.41 Rangkas Bitung",13,"kurang dari 1 menit",0,NA,9,"kurang dari 1 menit","0252201014","36","3602",2021-08-06 22:50:18,"Non COVID-19"
"620","RS Umum Daerah Lebong","Desa Muning Agung Kecamatan Lebong Sakti",2,"14 jam",13,"14 jam",19,"14 jam","082281280910","17","1707",2021-08-06 22:50:18,"Non COVID-19"
"621","RS Umum Daerah dr. Achmad Darwis","Jl. Tan Malaka No.1, Kec.Suliki",15,"13 jam",7,NA,32,NA,"082392905205","13","1308",2021-08-06 22:50:18,"Non COVID-19"
"622","RS Umum Daerah Patut Patuh Patju","Jl. H. Lalu Anggrat BA No. 2 Gerung",1,"15 jam",10,"15 jam",12,"15 jam","0370681321","52","5201",2021-08-06 22:50:19,"Non COVID-19"
"623","RS Umum Daerah Dr. R. Soedjono Selong","Jl. Prof M. Yamin, SH. No. 55 Selong",NA,NA,NA,NA,NA,NA,"037621415","52","5203",2021-08-06 22:50:20,"Non COVID-19"
"624","RS Daerah Dr. Haryoto Kabupaten Lumajang","  Jl. Basuki Rahmat No.5, Lumajang",NA,NA,0,"kurang dari 1 menit",6,"kurang dari 1 menit","0334881666","35","3508",2021-08-06 22:50:20,"Non COVID-19"
"625","RS Wijaya Kusuma","Jl. A. Yani No.149 Lumajang",4,"15 jam",1,"15 jam",14,"15 jam","085236384331","35","3508",2021-08-06 22:50:20,"Non COVID-19"
"626","RS Djatiroto","Jl. PB. Sudirman 81  RT 03 RW 01, Dsn. Krajan Desa Kaliboto Lor Kec. Jatiroto, Kab. Lumajang",5,"20 menit",6,"20 menit",NA,NA,"0334321004","35","3508",2021-08-06 22:50:20,"Non COVID-19"
"627","RS Islam Lumajang","Jl. Kyai Muksin nomor 19 Kelurahan Tompokersan Kec. Lumajang Kab. Lumajang",3,"16 jam",0,"16 jam",8,"16 jam","0334887999","35","3508",2021-08-06 22:50:20,"Non COVID-19"
"628","RS Umum Daerah I Lagaligo"," Jl. Sangkuruwira,Kec.Wotu Kab.Luwu Timur",1,NA,0,NA,93,NA,"hotline tidak tersedia","73","7325",2021-08-06 22:50:20,"Non COVID-19"
"629","RS Umum Daerah Majalengka"," Jl. Kesehatan No.77 Majalengka",13,"kurang dari 1 menit",26,"kurang dari 1 menit",73,"kurang dari 1 menit","0233281043","32","3210",2021-08-06 22:50:22,"Non COVID-19"
"630","RS Umum Daerah Cideres","Jl. Raya Cideres - Kadipaten No. 180 Bojong Cideres Dawuan ",4,"kurang dari 1 menit",41,"kurang dari 1 menit",28,"kurang dari 1 menit","0233661003","32","3210",2021-08-06 22:50:22,"Non COVID-19"
"631","RS Bedah Budi Kasih","Jl. Raya Majalengka - Kadipaten Km.7 no 84",12,NA,10,NA,14,NA,"0233511522","32","3210",2021-08-06 22:50:22,"Non COVID-19"
"632","RS Ibu dan Anak Mitra Plumbon Majalengka","Jl. Raya Barat Pasar Prapatan No. 109 ",6,"15 jam",3,"15 jam",1,"15 jam","hotline tidak tersedia","32","3210",2021-08-06 22:50:22,"Non COVID-19"
"633","RS Bala Keselamatan Bokor","Jl. A.Yani 91 Turen , Kab.Malang",0,NA,19,NA,28,NA,"0341824002","35","3507",2021-08-06 22:50:24,"Non COVID-19"
"634","RS Jiwa Dr. Radjiman Wediodiningrat Lawang","Jl. A. Yani, Lawang, Malang, Jawa Timur ",7,"3 jam",49,"3 jam",79,"3 jam","0341426015","35","3507",2021-08-06 22:50:24,"Non COVID-19"
"635","RS Umum Daerah Kanjuruhan Kepanjen Kab. Malang","Jl. Panji No. 100 Kepanjen, Kab. Malang",7,NA,12,NA,82,NA,"0341395041","35","3507",2021-08-06 22:50:24,"Non COVID-19"
"636","RS Marsudi Waluyo","Jl. Raya Mondoroko Km. 09, RT 004 RW 003 Desa Purwoasri, Kec. Singosari, Kab. Malang",0,"21 jam",0,"21 jam",0,"21 jam","0341458974","35","3507",2021-08-06 22:50:24,"Non COVID-19"
"637","RS Umum Wava Husada ","Jl. Panglima Sudirman No. 99A, Dilem, Kec. Kepanjen, Kab. Malang",15,NA,9,NA,29,NA,"0341393000","35","3507",2021-08-06 22:50:24,"Non COVID-19"
"638","RS Prasetya Husada","Jl. Raya Ngijo No.25, RT 05 RW 05 Desa Ngijo Kec. Ngijo,  Kab. Malang",10,NA,10,NA,16,NA,"0341460558","35","3507",2021-08-06 22:50:24,"Non COVID-19"
"639","RS Siti Miriam","Jl. dr. Wahidin No.101, RT 002 RW. 001, Kel. Kalirejo, Kec. Lawang, Kab.Malang",0,"13 jam",5,"13 jam",27,"13 jam","081288088101","35","3507",2021-08-06 22:50:24,"Non COVID-19"
"640","RS Angkatan Udara dr. Mohammad Moenir","Jl. Dr. M. Munir No.18 Lanud Abd. Saleh, Desa Saptorenggo Kec. Pakis Kab, Malang",5,"16 jam",10,"16 jam",9,"16 jam","0341792273","35","3507",2021-08-06 22:50:24,"Non COVID-19"
"641","RS Prima Husada","Perum Banjararum Selatan No.3-7, RT 003 RW 012 Desa Banjararum Kec. Singosari, Kab. Malang",12,"14 jam",10,"14 jam",10,"14 jam","0341458679","35","3507",2021-08-06 22:50:24,"Non COVID-19"
"642","RS Bedah Hasta Husada","Jl. Bromo 98-100 RT 011 RW 005, Kel. Kepanjen, Kec. Kepanjen, Kab. Malang",0,"15 jam",3,"15 jam",7,"15 jam","0341399499","35","3507",2021-08-06 22:50:24,"Non COVID-19"
"643","RS Umum Daerah Kabupaten Melawi","Jl. Kelakik KM. 4 Nanga Pinoh Kabupaten Melawi",12,"14 jam",18,"14 jam",41,"14 jam","082157766816","61","6110",2021-08-06 22:50:28,"Non COVID-19"
"644","RS Umum Citra Husada Nanga Pinoh","Jln. Dharma Bakti No. 45 C Nanga Pinoh",0,"13 jam",4,"13 jam",19,"13 jam","hotline tidak tersedia","61","6110",2021-08-06 22:50:28,"Non COVID-19"
"645","RS Umum Kasih Bunda Jaya Nanga Pinoh","Jl. Juang KM 2 Desa Tanjung Niaga Kecamatan Nanga Pinoh",1,NA,1,NA,4,NA,"hotline tidak tersedia","61","6110",2021-08-06 22:50:28,"Non COVID-19"
"646","RS Umum Daerah Dr. Rubini Mempawah","Jalan Raden Kusno Mempawah",13,"39 jam",5,"39 jam",11,"39 jam","085263688930","61","6104",2021-08-06 22:50:28,"Non COVID-19"
"647","RS Raudhah","Jl Lintas Sumatera Km 1 Bukit Aur Bangko Jambi",12,NA,9,"20 jam",14,"20 jam","085210917729","15","1502",2021-08-06 22:50:28,"Non COVID-19"
"648","RS Umum Puri Husadatama","desa Simpang Pematang kecamatan Simpang Pematang",2,NA,3,NA,8,NA,"07267758104","18","1811",2021-08-06 22:50:28,"Non COVID-19"
"649","RS Siloam GMIM Sonder","Kolongan Atas, Sonder",6,"15 jam",16,"15 jam",6,"15 jam","0431356673","71","7102",2021-08-06 22:50:29,"Non COVID-19"
"650","RS Umum Daerah Mitra Sehat","Jl. Raya Ratahan - Liwutung Desa Towuntu Timur Kec. Pasan Kabupaten Minahasa Tenggara",NA,NA,NA,NA,28,"39 jam","082290584215","71","7109",2021-08-06 22:50:29,"Non COVID-19"
"651","RSU Ratatotok Buyat","   JL. J.W. Lasut Ratatotok II Kecamatan Ratatotok",9,"6 jam",11,"6 jam",34,"6 jam","085395560706","71","7109",2021-08-06 22:50:29,"Non COVID-19"
"652","RS Umum Daerah Maria Walanda Maramis"," Jl. Prof. Arnold Mononutu - Kel.Sarongsong II - Airmadidi",5,"44 jam",12,"44 jam",13,"10 jam","085397473950","71","7106",2021-08-06 22:50:29,"Non COVID-19"
"653","RS Umum Sumberglagah Mojokerto"," Dsn. Sumberglagah Ds. Tanjungkenongo Kec. Pacet Mojokerto",5,"15 jam",14,"15 jam",31,"15 jam","0321690441","35","3516",2021-08-06 22:50:29,"Non COVID-19"
"654","RS Umum Pratama Paku","Desa Lakombulo Kec. Bungku Selatan Kab. Morowali",NA,NA,NA,NA,6,"15 jam","085395881190","72","7203",2021-08-06 22:50:29,"Non COVID-19"
"655","RS Umum Daerah dr. H. M. Rabain Muara Enim","Jl. Sultan Mahmud Badarudin II No. 49",13,"11 jam",32,"11 jam",62,"21 jam","0734424345","16","1603",2021-08-06 22:50:30,"Non COVID-19"
"656","RS Ibu dan Anak Karunia Indah Medika","Jl. Mayor Tjik Agus Kiemas Lintas Kepur Muara Enim",3,"13 jam",NA,NA,NA,NA,"081273373378","16","1603",2021-08-06 22:50:30,"Non COVID-19"
"657","RS Umum Daerah Ahmad Ripin","Jl. Lintas Timur Komp. Perkantoran Bukit Cinto Kenang",10,"13 jam",30,"13 jam",32,"13 jam","0741590056","15","1505",2021-08-06 22:50:30,"Non COVID-19"
"658","RS Umum Daerah Sungai Bahar","Jl. Soekarno Hatta Desa Suka Makmur Kecamatan Sungai Bahar Kabupaten Muaro Jambi",5,"46 jam",14,"46 jam",44,"46 jam","085269986022","15","1505",2021-08-06 22:50:30,"Non COVID-19"
"659","RS Umum Daerah Sungai Gelam","Jl. Ketaling KM. 21 Sungai Gelam",NA,NA,4,"36 jam",46,"36 jam","082388203192","15","1505",2021-08-06 22:50:30,"Non COVID-19"
"660","RS Ibu dan Anak AL-Barra","Jl. Pulai Berantai Desa Ujung Padang Kecamatan Kota Mukomuko",3,NA,6,NA,4,NA,"085279031935","17","1706",2021-08-06 22:50:30,"Non COVID-19"
"661","RS Umum Daerah Raha","Jl. Ahmad yani raha no 10 Raha",6,"12 jam",18,"12 jam",49,"12 jam","082394440965","74","7402",2021-08-06 22:50:30,"Non COVID-19"
"662","RS Umum Daerah Puruk Cahu","Jl. A. Yani No. 497, Puruk Cahu",5,"10 jam",10,"10 jam",30,"10 jam","052831787","62","6213",2021-08-06 22:50:31,"Non COVID-19"
"663","RS Umum Daerah Sekayu","Jl. Kol. Wahid Udin Lingkungan I Kel. Kayuara Kec. Sekayu Kab.Musi Banyuasin",15,"19 jam",26,NA,50,NA,"07143330203","16","1606",2021-08-06 22:50:31,"Non COVID-19"
"664","RS Umum Daerah Sungai Lilin","Jl. Palembang-Jambi Km.117 Kecamatan Sungai Lilin",NA,NA,NA,NA,25,"14 jam","08127273339","16","1606",2021-08-06 22:50:31,"Non COVID-19"
"665","RS Umum Daerah Dr. Sobirin Kabupaten Musi Rawas","Jl. Yos Sudarso No. 13 Kelurahan Pasar Pemiri Kecamatan Lubuklinggau Barat II",5,"22 jam",2,"22 jam",22,"22 jam","0733321995","16","1605",2021-08-06 22:50:31,"Non COVID-19"
"666","RS Umum Daerah Nganjuk","Jl. Dr. Sutomo 62, Nganjuk",6,"14 jam",5,"14 jam",28,"37 jam","0358321818","35","3518",2021-08-06 22:50:33,"Non COVID-19"
"667","RS Umum Bhayangkara Tk. III Nganjuk","Jl. Abdul Rahman Saleh 56, Kauman, Kabupaten Nganjuk",7,NA,7,NA,4,NA,"0358321896","35","3518",2021-08-06 22:50:33,"Non COVID-19"
"668","RS Islam Aisyiyah Nganjuk","Jl. Imam Bonjol No. 20 Nganjuk",2,"47 menit",5,"47 menit",4,"47 menit","0358324024","35","3518",2021-08-06 22:50:33,"Non COVID-19"
"669","RS Umum Daerah Dr. Soeroto Ngawi","    Jl. Dr Wahidin no: 27",5,"11 jam",34,"11 jam",54,"11 jam","0351749023","35","3521",2021-08-06 22:50:33,"Non COVID-19"
"670","RS Umum Widodo","Jl. Yos Sudarso 8 Ngawi",31,"16 jam",25,NA,26,"39 jam","0351746777","35","3521",2021-08-06 22:50:33,"Non COVID-19"
"671","RS Umum Daerah dr. M. Thomsen Nias","Jl dr. Ciptomangunkusumo No. 15 Gunungsitoli",6,NA,28,NA,71,NA,"063921271","12","1201",2021-08-06 22:50:33,"Non COVID-19"
"672","RS Umum Dr. Noesmir Baturaja","Jln. Dr. Moh Hatta No 64 ",6,"12 jam",12,"12 jam",20,"12 jam","0735320123","16","1601",2021-08-06 22:50:35,"Non COVID-19"
"673","RS Umum Daerah Dr. Ibnu Sutowo Baturaja","Jl. Dr. Moh.Hatta No.1,Baturaja",20,"14 jam",31,"14 jam",66,"14 jam","0735320298","16","1601",2021-08-06 22:50:35,"Non COVID-19"
"674","RS Umum Daerah Martapura","Jl. Adiwiyata Simpang Lengot Kota Baru Kecamatan Martapura",9,"40 jam",15,NA,27,"41 jam","07354840084","16","1609",2021-08-06 22:50:35,"Non COVID-19"
"675","RS Islam At-Taqwa Gumawang","Jl.Inspeksi Irigasi Komering, Tanah Merah, Kec. Belitang Madang Raya",10,"10 jam",17,"10 jam",9,"22 jam","085379648888","16","1609",2021-08-06 22:50:35,"Non COVID-19"
"676","RS Umum Panti Bhaktiningsih","Tegalrejo Belitang Kab. OKU Timur",12,"18 jam",17,"18 jam",25,"18 jam","0735450066","16","1609",2021-08-06 22:50:35,"Non COVID-19"
"677","RS Umum Daerah Ogan Komering Ulu Timur","Jl. Raya Belitang Rasuan No.1 Tulus Ayu Kecamatan Belitang Madang Raya",8,"37 jam",3,"37 jam",23,"37 jam","0735451815","16","1609",2021-08-06 22:50:35,"Non COVID-19"
"678","RS Umum Daerah  dr. Darsono","Jl. Ahmad Yani 51 Pacitan",NA,NA,NA,NA,12,NA,"0357881410","35","3501",2021-08-06 22:50:35,"Non COVID-19"
"679","RSU Agung Mulia","Jl. Sasuit Tubun Lingk. Bleber Kel. Sidoharjo Kec. Pacitan Kab. Pacitan",1,"35 jam",1,"35 jam",14,"35 jam","0357884466","35","3501",2021-08-06 22:50:35,"Non COVID-19"
"680","RS Umum Medical Mandiri Pacitan","Jl. Suruhan Sirnoboyo Kec. Pacitan Kab. Pacitan Jawa Timur",5,"15 jam",3,NA,23,NA,"0357883989","35","3501",2021-08-06 22:50:35,"Non COVID-19"
"681","RS Umum Daerah Gunung Tua","Jl Raya gunung Tua - Binangan KM 6 Aek Haruaya",5,"13 jam",21,"13 jam",21,"13 jam","06355110209","12","1220",2021-08-06 22:50:36,"Non COVID-19"
"682","RS Umum Daerah Salak","Jl Raja David, Kab.Pakpak Bharat",7,NA,NA,NA,30,NA,"081362781627","12","1216",2021-08-06 22:50:36,"Non COVID-19"
"683","RS Umum Mohammad Noer Pamekasan","JL. Bonorogo 17 Pamekasan Madura",NA,NA,5,NA,8,NA,"0324322594","35","3528",2021-08-06 22:50:36,"Non COVID-19"
"684","RS Alinda Husada","Jl. Raya Tanjung Lesung KM. 1 Panimbang",1,NA,3,NA,2,NA,"087772714887","36","3601",2021-08-06 22:50:36,"Non COVID-19"
"685","RS AU dr. Dody Sardjoto","Jl. By Pass Bandar Udara Internasional Sultan Hasanuddin ",10,NA,20,NA,10,"15 jam","4118954384","73","7309",2021-08-06 22:50:37,"Non COVID-19"
"686","RS Umum Daerah Buluye Napoae Moutong","Jl. H. Samsurizal Tombolotutu No.1 Salumpengut Kec. Moutong",NA,NA,36,"15 jam",NA,NA,"082252662608","72","7208",2021-08-06 22:50:37,"Non COVID-19"
"687","RS Umum Daerah Pasaman Barat","Jl. Jenderal Sudirman, Simpang Ampek, Pasaman Barat",8,"11 jam",8,"11 jam",41,"11 jam","081261618629","13","1312",2021-08-06 22:50:37,"Non COVID-19"
"688","RS Umum Daerah Panglima Sebaya","Jl. Kusuma Bangsa KM.5 Tanah Grogot",2,"35 jam",14,"35 jam",52,"35 jam","054324563","64","6401",2021-08-06 22:50:37,"Non COVID-19"
"689","RS Prima Husada","Jl. Raya Surabaya Malang KM 54 Lemahbang Kecamatan Sukorejo",26,"21 jam",26,"21 jam",13,"21 jam","03436745000","35","3514",2021-08-06 22:50:39,"Non COVID-19"
"690","RS Umum Daerah RAA Soewondo"," Jl. Dr Soesanto  No. 114",11,NA,26,"kurang dari 1 menit",81,"kurang dari 1 menit","082295005505 ","33","3318",2021-08-06 22:50:39,"Non COVID-19"
"691","RS Umum Islam Pati","Jl. Raya Pati-Tayu KM.18Waturoyo Margoyoso Pati",2,"9 menit",17,"kurang dari 1 menit",27,"kurang dari 1 menit","0295452316","33","3318",2021-08-06 22:50:39,"Non COVID-19"
"692","RS Umum Daerah Kayen Pati","Jl. Rumah Sakit No.1 Kayen Pati",10,"5 menit",5,"5 menit",20,"5 menit","02955503662","33","3318",2021-08-06 22:50:39,"Non COVID-19"
"693","RS Umum Keluarga Sehat "," Jl. P. Sudirman No. 9 Margorejo Pati",2,NA,0,NA,15,NA,"0295386111","33","3318",2021-08-06 22:50:39,"Non COVID-19"
"694","RS Umum As-Suyuthiyyah ","Jl. Raya Juwana - Tayu Km. 7 Guyangan Trangkil Pati Jawa Tengah ",3,"13 jam",10,"13 jam",14,"13 jam","085226000210","33","3318",2021-08-06 22:50:39,"Non COVID-19"
"695","RS Umum Daerah Kraton Kab. Pekalongan","  Jl. Veteran 31,Pekalongan",2,"50 menit",3,"50 menit",7,"50 menit","0285421621","33","3326",2021-08-06 22:50:39,"Non COVID-19"
"696","RS Umum Islam PKU Muhammadiyah Pekajangan","Jl. Raya Ambokembang No.42-44,Pekalongan",24,"4 menit",4,"4 menit",37,"4 menit","0285785133","33","3326",2021-08-06 22:50:39,"Non COVID-19"
"697","RS Umum Daerah Kajen Kab. Pekalongan","Jl. Raya Karangsari Karanganyar Kab. Pekalongan",10,NA,4,NA,80,"kurang dari 1 menit","081229355569","33","3326",2021-08-06 22:50:39,"Non COVID-19"
"698","RS Ibu dan Anak Aisyiyah Pekajangan Pekalongan","Jl. Raya Pekajangan No. 610",7,"49 menit",4,"49 menit",7,"49 menit","0285785909","33","3326",2021-08-06 22:50:39,"Non COVID-19"
"699","RS Umum  Efarina","Jl Lintas Timur No.1 Pangkalan Kerinci Riau",15,"17 jam",36,NA,11,"17 jam","0761494500","14","1404",2021-08-06 22:50:40,"Non COVID-19"
"700","RS Umum  Amalia Medika","Jl Lintas Timur Pangkalan Kerinci - Pelalawan - Riau",11,NA,10,NA,15,NA,"hotline tidak tersedia","14","1404",2021-08-06 22:50:40,"Non COVID-19"
"701","RS Umum Daerah Dr. M. Ashari Pemalang"," Jl. Gatot Subroto No.41,Pemalang",16,"10 menit",22,"10 menit",14,"10 menit","0284321614","33","3327",2021-08-06 22:50:40,"Non COVID-19"
"702","RS Umum Daerah Ratu Aji Putri Botung","Jl Propinsi KM 9 Kab. Penajam Paser Utara",NA,NA,NA,NA,32,"14 jam","082148580265","64","6409",2021-08-06 22:50:40,"Non COVID-19"
"703","RS Umum Daerah Talang Ubi","Jl. Lingkar Handayani Kel. Handayani Mulia Kec. Talang Ubi",0,"14 jam",2,"14 jam",16,"13 jam","0713390566","16","1612",2021-08-06 22:50:40,"Non COVID-19"
"704","RS Umum Daerah Pesawaran","Jln. Raya Kedondong, Sukamarga, Desa Gedong Tataan Kec. Gedong Tataan, kab. Pesawaran",7,"22 jam",16,"21 jam",64,"21 jam","07215621977 ","18","1809",2021-08-06 22:50:40,"Non COVID-19"
"705","RS Umum Daerah KH. Muhammad Thohir KRUI","Atar Sedangkek Pekon Way Suluh Kec. Krui Selatan Kab. Pesisir Barat",NA,NA,NA,NA,19,"14 jam","082372298787","18","1813",2021-08-06 22:50:41,"Non COVID-19"
"706","RS Umum Daerah Dr. Muhammad Zein Painan","Jl. A. Rivai No 1 Painan Kabupaten Pesisir Selatan",12,NA,7,NA,45,NA,"08525531777","13","1302",2021-08-06 22:50:41,"Non COVID-19"
"707","RS Umum BKM","Jl Jend Sudirman Sago IV Jurai Painan",NA,NA,8,"13 jam",NA,NA,"082383641567","13","1302",2021-08-06 22:50:41,"Non COVID-19"
"708","RS Umum Daerah Pidie Jaya","      Jl. Banda - Aceh KM. 158, Meureudu",3,NA,0,NA,49,"12 jam","08126911436","11","1118",2021-08-06 22:50:41,"Non COVID-19"
"709","RS Umum Daerah Lasinrang Pinrang","  Jl. Macan No. 22 Pinrang",NA,NA,NA,NA,11,"1 menit","0421921298","73","7315",2021-08-06 22:50:41,"Non COVID-19"
"710","RS Umum Aisyiyah Ponorogo","Jl. Dr Sutomo 18 - 24, Ponorogo",6,NA,25,NA,11,NA,"0352461560","35","3502",2021-08-06 22:50:41,"Non COVID-19"
"711","RS Umum Muhammadiyah Ponorogo","Jl. Diponegoro No. 50 Ponorogo",5,NA,21,NA,24,NA,"0352485928","35","3502",2021-08-06 22:50:41,"Non COVID-19"
"712","RS Umum Muslimat Ponorogo","Jl. Jend. A. Yani 155, Ponorogo",6,"50 menit",12,"50 menit",22,"50 menit","0352481986","35","3502",2021-08-06 22:50:41,"Non COVID-19"
"713","RS Umum Daerah Poso","Jl. Jenderal Sudirman No.33  Kel Kasintuwu Poso",14,"15 jam",10,"15 jam",59,"15 jam","0811455179","72","7204",2021-08-06 22:50:42,"Non COVID-19"
"714","RS Umum Mitra Husada","Jl. Jend.A.Yani No.14 Pringsewu,Kab.Pringsewu",6,"15 jam",20,"15 jam",72,NA,"081279036111","18","1810",2021-08-06 22:50:42,"Non COVID-19"
"715","RS Umum Daerah Pringsewu","Jl. Lintas Barat Pekon Fajar Agung Barat Kec. Pringsewu",5,"46 jam",2,"46 jam",80,"46 jam","072923582","18","1810",2021-08-06 22:50:42,"Non COVID-19"
"716","RS Ibu dan Anak Harapan Bunda","Jl. KH. Dewantara No. 1269 Primgsewu - Lampung",3,"12 jam",5,"12 jam",2,"12 jam","072923186","18","1810",2021-08-06 22:50:42,"Non COVID-19"
"717","RS Umum Wisma Rini Pringsewu","Jl. Wisma Rini No.1 Pringsewu",12,"21 jam",12,"21 jam",22,"21 jam","072921096","18","1810",2021-08-06 22:50:42,"Non COVID-19"
"718","RS Umum Daerah Pulang Pisau","Jl. W.A.D Duha Komplek Perkantoran Kab. Pulang Pisau  Provinsi Kalimantan Tengah",8,"13 jam",10,"13 jam",33,"13 jam","085245749601","62","6210",2021-08-06 22:50:42,"Non COVID-19"
"719","RS Umum Nirmala","Jl. Letnan Yusup Babakan, Kalimanah Purbalingga",19,"13 jam",6,"13 jam",37,"13 jam","0281892844","33","3303",2021-08-06 22:50:43,"Non COVID-19"
"720","RS Umum Harapan Ibu","Jl. May.Jend.Soengkono KM.1,Kec. Kalimanah, Purbalingga dan JL. Soekarno Hatta No.02 Kec. Kalimanah ",5,"18 jam",23,"18 jam",19,"18 jam","0281892222","33","3303",2021-08-06 22:50:43,"Non COVID-19"
